series,year,gross_er,net_er,fee,is_etf_ever,aum,is_active,is_levinv
S000002561,2010.0,,0.0011,0.0011,True,,,
S000002561,2011.0,,0.0011,0.0011,True,,,
S000002561,2012.0,,0.0006000000000000001,0.0006000000000000001,True,,,
S000002561,2013.0,,0.001,0.001,True,,,
S000002561,2014.0,,0.001,0.001,True,,,
S000002561,2016.0,0.0009,,0.0009,True,,,
S000002561,2017.0,0.0007,,0.0007,True,,,
S000002561,2018.0,0.0007,,0.0007,True,,,
S000002561,2019.0,0.0007,,0.0007,True,32690865531.695835,False,False
S000002561,2020.0,0.0005,,0.0005,True,32970143695.919163,False,False
S000002561,2021.0,0.0005,,0.0005,True,37592067273.162506,False,False
S000002561,2022.0,0.0005,,0.0005,True,39266288845.5575,False,False
S000002561,2023.0,0.0005,,0.0005,True,33818358773.123333,False,False
S000002561,2024.0,0.00025,,0.00025,True,35710005803.29,False,False
S000002561,2025.0,0.0004,,0.0004,True,39948342164.565,False,False
S000002562,2010.0,,0.0011,0.0011,True,,,
S000002562,2011.0,,0.0009,0.0009,True,,,
S000002562,2012.0,,0.0006000000000000001,0.0006000000000000001,True,,,
S000002562,2013.0,,0.0008500000000000001,0.0008500000000000001,True,,,
S000002562,2014.0,,0.0008500000000000001,0.0008500000000000001,True,,,
S000002562,2016.0,0.0009,,0.0009,True,,,
S000002562,2017.0,0.0006000000000000001,,0.0006000000000000001,True,,,
S000002562,2018.0,0.0006000000000000001,,0.0006000000000000001,True,,,
S000002562,2019.0,0.0007,,0.0007,True,10598062372.16333,False,False
S000002562,2020.0,0.0005,,0.0005,True,12093639451.325834,False,False
S000002562,2021.0,0.0005,,0.0005,True,12373830641.176664,False,False
S000002562,2022.0,0.00045,,0.00045,True,11221638078.995832,False,False
S000002562,2023.0,0.00045,,0.00045,True,8571570640.886666,False,False
S000002562,2024.0,0.00025,,0.00025,True,8601932750.6775,False,False
S000002562,2025.0,0.00035,,0.00035,True,8764250300.645,False,False
S000002563,2010.0,,0.0011,0.0011,True,,,
S000002563,2011.0,,0.0011,0.0011,True,,,
S000002563,2012.0,,0.0006000000000000001,0.0006000000000000001,True,,,
S000002563,2013.0,,0.001,0.001,True,,,
S000002563,2014.0,,0.001,0.001,True,,,
S000002563,2016.0,0.0009,,0.0009,True,,,
S000002563,2017.0,0.0007,,0.0007,True,,,
S000002563,2018.0,0.0007,,0.0007,True,,,
S000002563,2019.0,0.0007,,0.0007,True,50851378433.86917,False,False
S000002563,2020.0,0.0005,,0.0005,True,49056940077.814995,False,False
S000002563,2021.0,0.0005,,0.0005,True,55202847753.468346,False,False
S000002563,2022.0,0.0005,,0.0005,True,70203800192.7875,False,False
S000002563,2023.0,0.0005,,0.0005,True,68162198499.4725,False,False
S000002563,2024.0,0.00025,,0.00025,True,61347392599.80167,False,False
S000002563,2025.0,0.0004,,0.0004,True,57952070983.956665,False,False
S000002564,2010.0,,0.0011,0.0011,True,,,
S000002564,2011.0,,0.001,0.001,True,,,
S000002564,2012.0,,0.0006000000000000001,0.0006000000000000001,True,,,
S000002564,2013.0,,0.0008,0.0008,True,,,
S000002564,2014.0,,0.0007,0.0007,True,,,
S000002564,2016.0,0.0006,,0.0006,True,,,
S000002564,2017.0,0.00045,,0.00045,True,,,
S000002564,2018.0,0.00045,,0.00045,True,,,
S000002564,2019.0,0.0004,,0.0004,True,198671207288.76917,False,False
S000002564,2020.0,0.0004,,0.0004,True,230044633589.14,False,False
S000002564,2021.0,0.0004,,0.0004,True,279422196681.6567,False,False
S000002564,2022.0,0.00035,,0.00035,True,310411642371.93665,False,False
S000002564,2023.0,0.00035,,0.00035,True,286103111229.31085,False,False
S000002564,2024.0,0.0003,,0.0003,True,295376543093.7742,False,False
S000002564,2025.0,0.0003,,0.0003,True,327240669304.4725,False,False
S000002839,2010.0,,0.0006,0.0006,True,,,
S000002839,2011.0,,0.0005,0.0005,True,,,
S000002839,2012.0,,0.0005,0.0005,True,,,
S000002839,2013.0,,0.0005,0.0005,True,,,
S000002839,2014.0,,0.0005,0.0005,True,,,
S000002839,2016.0,0.0005,,0.0005,True,,,
S000002839,2017.0,0.0004,,0.0004,True,,,
S000002839,2018.0,0.0004,,0.0004,True,,,
S000002839,2019.0,0.00035,,0.00035,True,423793078663.3625,False,False
S000002839,2020.0,0.00035,,0.00035,True,482070021802.0926,False,False
S000002839,2021.0,0.00035,,0.00035,True,547964418602.945,False,False
S000002839,2022.0,0.00035,,0.00035,True,756214186013.0083,False,False
S000002839,2023.0,0.00035,,0.00035,True,767112902255.605,False,False
S000002839,2024.0,0.00035,,0.00035,True,863964568668.1816,False,False
S000002839,2025.0,0.00035,,0.00035,True,1191939011243.5884,False,False
S000002840,2010.0,,0.0012,0.0012,True,,,
S000002840,2011.0,,0.001,0.001,True,,,
S000002840,2012.0,,0.001,0.001,True,,,
S000002840,2013.0,,0.0009,0.0009,True,,,
S000002840,2014.0,,0.0009,0.0009,True,,,
S000002840,2016.0,0.0008,,0.0008,True,,,
S000002840,2017.0,0.0006,,0.0006,True,,,
S000002840,2018.0,0.0005,,0.0005,True,,,
S000002840,2019.0,0.00045,,0.00045,True,69315264124.32918,False,False
S000002840,2020.0,0.00045,,0.00045,True,81124565641.84166,False,False
S000002840,2021.0,0.00045,,0.00045,True,82600142230.17917,False,False
S000002840,2022.0,0.00045,,0.00045,True,123325516786.37833,False,False
S000002840,2023.0,0.00045,,0.00045,True,145491251514.16666,False,False
S000002840,2024.0,0.0003,,0.0003,True,148829452769.14667,False,False
S000002840,2025.0,0.00045,,0.00045,True,174940072696.45667,False,False
S000002841,2010.0,,0.0016,0.0016,True,,,
S000002841,2011.0,,0.0014,0.0014,True,,,
S000002841,2012.0,,0.001,0.001,True,,,
S000002841,2013.0,,0.001,0.001,True,,,
S000002841,2014.0,,0.001,0.001,True,,,
S000002841,2016.0,0.0009,,0.0009,True,,,
S000002841,2017.0,0.0007,,0.0007,True,,,
S000002841,2018.0,0.0007,,0.0007,True,,,
S000002841,2019.0,0.00065,,0.00065,True,65348039848.23751,False,False
S000002841,2020.0,0.0005499999999999999,,0.0005499999999999999,True,69617364802.75835,False,False
S000002841,2021.0,0.0005499999999999999,,0.0005499999999999999,True,73262196137.465,False,False
S000002841,2022.0,0.0005499999999999999,,0.0005499999999999999,True,109848801259.30168,False,False
S000002841,2023.0,0.0005499999999999999,,0.0005499999999999999,True,86321802305.6125,False,False
S000002841,2024.0,0.00035,,0.00035,True,86647743375.84334,False,False
S000002841,2025.0,0.0005,,0.0005,True,104475952873.65,False,False
S000002842,2010.0,,0.0012,0.0012,True,,,
S000002842,2011.0,,0.001,0.001,True,,,
S000002842,2012.0,,0.001,0.001,True,,,
S000002842,2013.0,,0.0009,0.0009,True,,,
S000002842,2014.0,,0.0009,0.0009,True,,,
S000002842,2016.0,0.0008,,0.0008,True,,,
S000002842,2017.0,0.0006,,0.0006,True,,,
S000002842,2018.0,0.0005,,0.0005,True,,,
S000002842,2019.0,0.00045,,0.00045,True,79470031912.11082,False,False
S000002842,2020.0,0.00045,,0.00045,True,90422923929.82918,False,False
S000002842,2021.0,0.00045,,0.00045,True,119517272365.065,False,False
S000002842,2022.0,0.00045,,0.00045,True,165770184586.405,False,False
S000002842,2023.0,0.00045,,0.00045,True,147571366767.39334,False,False
S000002842,2024.0,0.0003,,0.0003,True,171252698668.42166,False,False
S000002842,2025.0,0.00045,,0.00045,True,246213215255.7333,False,False
S000002843,2010.0,,0.0012,0.0012,True,,,
S000002843,2011.0,,0.001,0.001,True,,,
S000002843,2012.0,,0.001,0.001,True,,,
S000002843,2013.0,,0.0009,0.0009,True,,,
S000002843,2014.0,,0.0009,0.0009,True,,,
S000002843,2016.0,0.0008,,0.0008,True,,,
S000002843,2017.0,0.0006,,0.0006,True,,,
S000002843,2018.0,0.0005,,0.0005,True,,,
S000002843,2019.0,0.00045,,0.00045,True,19916961490.928333,False,False
S000002843,2020.0,0.00045,,0.00045,True,22872965990.015835,False,False
S000002843,2021.0,0.00045,,0.00045,True,27485866291.904163,False,False
S000002843,2022.0,0.00045,,0.00045,True,37787655387.57584,False,False
