sponsor,n,aum,ew_er
Vanguard,97,7013379789282.114,0.0007283505154639175
BlackRock (iShares),449,3013468751281.751,0.0029570155902004457
State Street (SPDR),168,741256257802.2278,0.002788095238095238
Schwab,33,412056094366.4103,0.001184848484848485
Invesco,222,313731846896.617,0.003928959276018099
Dimensional,41,191955756487.20078,0.00244390243902439
JPMorgan,64,185516078288.75922,0.0029793650793650795
First Trust,256,150310077059.16,0.007980392156862746
VanEck,70,90889175558.40393,0.004923188405797102
Fidelity,75,89701958331.20538,0.003068
WisdomTree,80,80525212192.0,0.0046575
ProShares,131,71536868328.68831,0.008264885496183205
Global X,110,60328960241.299995,0.0047227272727272725
Direxion,118,48628494081.5499,0.009935593220338984
Pacer,56,44778277093.424,0.005992857142857143
Goldman Sachs Etf Trust,46,37689429923.0,0.0033130434782608696
Pimco Etf Trust,19,32666826542.34,0.004205263157894737
Janus Detroit Street Trust,15,32476472043.024887,0.003966666666666666
Innovator Etfs Trust,158,25495045296.55817,0.007988607594936711
Dbx Etf Trust,41,24744994875.0,0.0023682926829268294
Tidal (YieldMax),128,22104727738.62623,0.00934351851851852
Flexshares Trust,27,21238721891.68,0.0029037037037037035
Capital Group,23,20890405572.61,0.003921739130434782
Alps Etf Trust,24,17354548980.0,0.0050999999999999995
Franklin Templeton Etf Trust,51,17169902958.867949,0.002562745098039216
"T. Rowe Price Exchange-Traded Funds, Inc.",25,14338636063.0,0.0042125
Pgim Etf Trust,19,13891594037.0,0.004215789473684211
Neos Etf Trust,19,12459610919.0,0.006692307692307692
Etf Series Solutions,46,12430355445.976,0.0061434782608695655
Ark Etf Trust,8,11346828443.0,0.007075
Nushares Etf Trust,25,10798713789.79,0.00322
"Ab Active Etfs, Inc.",22,10709630356.771858,0.0041818181818181815
Krane Shares Trust,32,8419105778.828732,0.007721875
Victory Portfolios Ii,34,7944606049.11,0.004203448275862069
Bny Mellon Etf Trust,12,7798923946.87,0.0023083333333333332
John Hancock Exchange-Traded Fund Trust,16,7022397702.0,0.00436875
GraniteShares,39,6886735303.0,0.011470588235294118
Simplify Exchange Traded Funds,34,6319966704.0,0.006617647058823529
Northern Lights Fund Trust Iv,32,6305779848.765912,0.008890625000000001
Listed Funds Trust,32,6218948442.0,0.008875000000000001
Etf Opportunities Trust,62,6122601619.203,0.010595348837209303
Ea Series Trust,47,5846342160.552,0.0054555555555555555
Principal Exchange-Traded Funds,12,5548706175.82423,0.0037333333333333333
