year,n,ew,median,aw
2011.0,728.0,0.005657486263736264,0.0051,
2012.0,886.0,0.005632787810383747,0.0053,
2013.0,935.0,0.005556524064171124,0.005,
2014.0,1118.0,0.005449105545617174,0.005,
2015.0,1229.0,0.005366354759967453,0.0048,
2016.0,1475.0,0.005385593220338983,0.0048,
2017.0,1696.0,0.005197729952830188,0.0048,
2018.0,1997.0,0.005061767651477216,0.0047,0.002564240838254134
2019.0,2083.0,0.005070115218434951,0.0046,0.0014291706453102083
2020.0,2183.0,0.0049655290884104445,0.0045,0.00134587618441678
2021.0,2618.0,0.005174923605805959,0.0049,0.0013798755378554293
2022.0,2952.0,0.00527874322493225,0.005,0.001327073255803812
2023.0,3291.0,0.00542415679124886,0.005,0.0013242131831445335
2024.0,3887.0,0.005543323900180088,0.005,0.0013279869225180868
2025.0,3823.0,0.005358357311012295,0.005,0.0012354648701023137
2026.0,557.0,0.005279533213644524,0.005,0.0023647269970195604
